m,s,frame,VERDICT
00,04,02,TRUTH
00,08,04,SUBJECT EMPHATIC
00,12,06,TRUTH
00,16,08,SUBJECT MANIPULATING VOICE 
00,36,17,TRUTH
00,44,21,TRUTH
00,48,22,LIE
00,57,02,INACCURACY
01,24,23,INACCURACY
01,53,12,LIE
02,15,09,INACCURACY
02,19,11,LIE
02,23,13,INACCURACY
02,27,15,LIE
02,31,17,INACCURACY
02,39,20,LIE
02,48,00,INACCURACY
03,06,13,INACCURACY
03,23,20,INACCURACY
03,27,21,SUBJECT EMPHATIC
03,31,23,LIE
03,40,03,INACCURACY
03,44,05,SUBJECT EMPHATIC
03,52,08,LIE
03,56,10,INACCURACY
04,00,12,SUBJECT MANIPULATING VOICE
04,04,14,LIE
04,20,21,SUBJECT MANIPULATING VOICE 
04,24,23,INACCURACY
04,41,02,SUBJECT ATTEMPTING OUTSMART
04,51,00,AVOIDANCE
05,03,06,SUBJECT EMPHATIC
05,07,07,LIE
05,19,13,SUBJECT MANIPULATING VOICE 
05,52,04,SUBJECT EMPHATIC
06,12,13,SUBJECT ATTEMPTING OUTSMART
06,16,15,SUBJECT MANIPULATING VOICE 
06,47,15,LIE
06,51,11,SUBJECT EMPHATIC
07,38,19,SUBJECT EMPHATIC
08,27,17,SUBJECT ATTEMPTING OUTSMART
08,35,20,SUBJECT MANIPULATING VOICE
09,24,18,SUBJECT EMPHATIC
09,41,02,SUBJECT ATTEMPTING OUTSMART
09,45,03,SUBJECT MANIPULATING VOICE
10,01,11,SUBJECT EMPHATIC
10,17,18,SUBJECT MANIPULATING VOICE
10,19,02,INACCURACY
10,19,18,SUBJECT MANIPULATING VOICE
10,27,22,INACCURACY
10,44,05,SUBJECT EMPHATIC
10,48,07,LIE
10,52,09,INACCURACY
11,00,12,SUBJECT EMPHATIC
11,08,16,LIE
11,15,11,SUBJECT ATTEMPTING OUTSMART
12,20,06,SUBJECT MANIPULATING VOICE
12,36,13,SUBJECT EMPHATIC
13,13,06,INACCURACY
13,17,08,LIE
13,21,09,INACCURACY
13,33,15,LIE
13,54,00,INACCURACY
13,58,02,LIE
14,18,11,INACCURACY
14,26,15,TRUTH
14,34,18,INACCURACY
14,38,20,TRUTH
15,03,07,SUBJECT IS NOT SURE
15,07,09,TRUTH
15,15,13,TRUTH
15,23,16,TRUTH
15,27,18,SUBJECT IS NOT SURE
15,31,20,LIE
15,35,22,INACCURACY
15,41,04,AVOIDANCE
15,57,11,SUBJECT EMPHATIC
16,13,19,SUBJECT IS NOT SURE
16,21,22,INACCURACY
16,34,04,LIE
16,38,06,TRUTH
16,42,07,LIE
16,46,09,TRUTH
17,06,18,SUBJECT EMPHATIC
17,23,02,INACCURACY
17,27,04,TRUTH
17,35,08,INACCURACY
17,39,09,LIE
17,43,11,TRUTH
17,47,13,LIE
17,55,17,INACCURACY
17,59,18,LIE
18,03,20,TRUTH
18,12,00,LIE
18,36,19,SUBJECT ATTEMPTING OUTSMART
18,53,03,TRUTH
18,57,05,LIE
19,01,06,TRUTH
19,09,10,TRUTH
19,13,12,LIE
19,18,09,TRUTH
19,26,13,LIE
19,30,05,TRUTH
19,58,15,TRUTH
20,34,00,SUBJECT EMPHATIC
20,47,02,LIE
20,58,08,INACCURACY
20,58,22,TRUTH
21,03,00,LIE
21,07,02,INACCURACY
21,15,05,LIE
21,19,07,INACCURACY
21,23,09,TRUTH
21,27,11,LIE
21,46,09,TRUTH
21,54,02,TRUTH
21,58,04,LIE
22,06,08,TRUTH
22,10,10,LIE
22,26,17,INACCURACY
22,30,19,TRUTH
22,38,22,INACCURACY
22,39,18,LIE
22,39,21,TRUTH
22,43,23,INACCURACY
22,48,01,LIE
23,01,14,INACCURACY
23,03,19,SUBJECT MANIPULATING VOICE
23,05,09,SUBJECT ATTEMPTING OUTSMART
23,09,11,SUBJECT MANIPULATING VOICE
23,17,15,SUBJECT ATTEMPTING OUTSMART
23,25,18,SUBJECT MANIPULATING VOICE
23,29,20,SUBJECT ATTEMPTING OUTSMART
23,33,22,LIE
